Nazwa;"ogó³em;ogó³em;2018;[osoba]";"ogó³em;ogó³em;2019;[osoba]";"ogó³em;ogó³em;2020;[osoba]"
POLSKA;11167;11961;12013
DOLNOŒL¥SKIE;859;1096;984
KUJAWSKO-POMORSKIE;413;401;396
LUBELSKIE;612;667;626
LUBUSKIE;294;369;315
£ÓDZKIE;1240;1252;1263
MA£OPOLSKIE;1033;1075;1148
MAZOWIECKIE;1123;1189;1202
OPOLSKIE;210;215;194
PODKARPACKIE;592;545;580
PODLASKIE;346;461;498
POMORSKIE;569;675;724
ŒL¥SKIE;1686;1620;1709
ŒWIÊTOKRZYSKIE;517;512;533
WARMIÑSKO-MAZURSKIE;546;611;566
WIELKOPOLSKIE;706;747;746
ZACHODNIOPOMORSKIE;421;526;529
